KEYS,es,en
KEY_START,COMENZAR PARTIDA,START GAME
KEY_OPTIONS,OPCIONES,OPTIONS
KEY_LANGUAGE,IDIOMA,LANGUAGE
KEY_ESP,ESPAÑOL,SPANISH
KEY_ENG,INGLES,ENGLISH
KEY_VOLUME,VOLUMEN,VOLUME
KEY_VOLUMESFX,VOLUMEN SFX,SFX VOLUME
KEY_EXIT,SALIR,EXIT
KEY_DICE,TIRAR DADO,THROW DICE
KEY_MAPA,MAPA,MAP
KEY_CELL,BATERIA,CELL
KEY_MINIJUEGO,MINIJUEGO,MINIGAME
KEY_CHIPS,MICROCHIPS,MICROCHIPS
KEY_CLOSE,CERRAR,CLOSE
KEY_JOIN,PULSA CUALQUIER BOTON EN TU MANDO O TECLADO\n PARA UNIRTE A LA PARTIDA,PRESS ANY BUTTON IN YOUR CONTROLLER OR KEYBOARD\n TO JOIN THE GAME
KEY_JOIN_START_GAMEPAD,CON 2 O MÁS JUGADORES\n EL PRIMER JUGADOR PUEDE PULSAR START PARA COMENZAR,WITH 2 OR MORE PLAYERS\n THE FIRST PLAYER CAN PRESS START TO BEGIN
KEY_JOIN_START_KEYBOARD,CON 2 O MÁS JUGADORES\n EL PRIMER JUGADOR PUEDE PULSAR S PARA COMENZAR,WITH 2 OR MORE PLAYERS\n THE FIRST PLAYER CAN PRESS S TO BEGIN
KEY_ROUND,RONDA,ROUND
KEY_GAME_TUTO_1,BIENVENIDO A PARTY QUEST. RECORRE EL TABLERO Y ACUMULA BATERÍAS Y MICROCHIPS PARA IMPONERTE AL RESTO DE JUGADORES.,WELCOME TO PARTY QUEST. TRAVEL THE BOARD AND COLLECT BATTERIES AND MICROCHIPS TO OUTPLAY THE REST.
KEY_GAME_TUTO_2,"CADA RONDA, TODOS LOS JUGADORES TIRAN EL DADO Y AVANZAN POR EL TABLERO. SI LLEGAS A UNA BIFURCACIÓN, ¡TÚ DECIDES QUÉ CAMINO TOMAR!","EVERY ROUND, ALL PLAYERS ROLL THE DICE AND MOVE ACROSS THE BOARD. HIT A FORK? YOU CHOOSE WHICH PATH TO TAKE!"
KEY_GAME_TUTO_3,LAS CASILLAS AZULES SON LAS MÁS DESEADAS. SI CAES EN UNA GANAS 4 MICROCHIPS. TODO DEPENDE DEL DADO.,BLUE CELLS ARE THE MOST SOUGHT AFTER. LAND ON ONE AND YOU EARN 4 MICROCHIPS. IT ALL COMES DOWN TO THE DICE.
KEY_GAME_TUTO_4,LAS CASILLAS ROJAS SON LAS PEORES. SI CAES EN UNA PIERDES 4 MICROCHIPS. REZALE AL DADO PARA NO CAER EN ELLAS.,RED CELLS ARE THE WORST. LAND ON ONE AND YOU LOSE 4 MICROCHIPS. PRAY TO THE DICE AND HOPE FOR THE BEST.
KEY_GAME_TUTO_5,"SI CAES EN UNA CASILLA DE MINIJUEGO, TODOS LOS JUGADORES COMPITEN. CADA UNO GANA MICROCHIPS SEGÚN EL PUESTO EN QUE QUEDE, ASÍ QUE VALE LA PENA DAR EL MÁXIMO.","LAND ON A MINIGAME CELL AND EVERYONE COMPETES. EACH PLAYER EARNS MICROCHIPS BASED ON THEIR FINAL RANKING, SO IT'S WORTH GIVING IT YOUR ALL."
KEY_GAME_TUTO_6,"CAE EN LA CASILLA DE BATERÍA Y COMPRA UNA POR 20 MICROCHIPS. SI NO TIENES SUFICIENTES, NO PODRÁS. ¡LAS BATERÍAS DECIDEN AL GANADOR!","LAND ON THE BATTERY CELL AND BUY ONE FOR 20 MICROCHIPS. NO MICROCHIPS, NO BATTERY. BATTERIES DECIDE THE WINNER!"
KEY_GAME_TUTO_7,LA CASILLA DE BATERÍA APARECE EN EL PUNTO MÁS LEJANO Y SE MUEVE CADA VEZ QUE ALGUIEN COMPRA UNA. ¡ELIGE BIEN TU CAMINO!,THE BATTERY CELL SPAWNS AT THE FARTHEST POINT AND MOVES EACH TIME SOMEONE BUYS ONE. CHOOSE YOUR PATH WISELY!
KEY_GAME_TUTO_8,"AL TERMINAR TODAS LAS RONDAS GANA QUIEN TENGA MÁS BATERÍAS. SI HAY EMPATE, DECIDE QUIEN TENGA MÁS MICROCHIPS. SI SIGUEN EMPATADOS, COMPARTEN LA VICTORIA.","WHEN ALL ROUNDS ARE DONE THE PLAYER WITH THE MOST BATTERIES WINS. TIES ARE BROKEN BY MICROCHIPS. IF IT'S STILL A TIE, THE VICTORY IS SHARED."
KEY_GAME_TUTO_9,¡BUENA SUERTE Y QUE GANE EL MEJOR!,GOOD LUCK AND MAY THE BEST PLAYER WIN!
KEY_ORDER_DICE,¡HORA DE DECIDIR EL ORDEN! TIRAD EL DADO: EL QUE SAQUE MÁS ALTO VA PRIMERO.,TIME TO DECIDE THE TURN ORDER! ROLL THE DICE: THE HIGHEST NUMBER GOES FIRST.
KEY_BATTERY_BUY,¿QUIERES COMPRAR UNA BATERÍA? CUESTA %d MICROCHIPS. ACEPTA PARA COMPRAR O CANCELA PARA PASAR.,DO YOU WANT TO BUY A BATTERY? IT COSTS %d MICROCHIPS. PRESS ACCEPT TO BUY OR CANCEL TO SKIP.
KEY_BATTERY_NO_CHIPS,¡QUÉ PENA! NO TIENES SUFICIENTES MICROCHIPS PARA COMPRAR LA BATERÍA.,WHAT A SHAME! YOU DON'T HAVE ENOUGH MICROCHIPS TO BUY THE BATTERY.
KEY_MINIJUEGO_GLOBO_NOMBRE,INFLANDO GLOBOS,PUMPING BALLOONS
KEY_MINIJUEGO_GLOBO_DESC,"PULSA REPETIDAMENTE PARA INFLAR TU GLOBO. CUANTO MÁS LO INFLES, ¡MEJOR TERMINARÁ SIENDO TU PUESTO!\n\nPERO TEN CUIDADO... NO SABES CUÁNDO EXPLOTARÁ. \n\nSI EL GLOBO EXPLOTA PERDERÁS, INTENTA APURAR LO MÁXIMO QUE CREAS POSIBLE. \n\n¡EL GLOBO MÁS INFLADO SIN EXPLOTAR GANA!","PRESS REPEATEDLY TO INFLATE YOUR BALLOON. THE MORE YOU INFLATE IT, THE BETTER YOUR RANKING WILL BE!\n\nBUT BE CAREFUL... YOU DON’T KNOW WHEN IT WILL POP.\n\nIF THE BALLOON POPS, YOU LOSE — TRY TO PUSH IT AS FAR AS YOU THINK POSSIBLE.\n\nTHE MOST INFLATED BALLOON WITHOUT POPPING WINS!"
KEY_MINIJUEGO_GLOBO_CONTROLS,PARA INFLAR EL GLOBO,TO INFLATE THE BALLOON
KEY_MINIJUEGO_PALO_NOMBRE,EL PALO BARREDOR,THE SWEEPER STICK
KEY_MINIJUEGO_PALO_DESC,"EN EL CENTRO DE LA ARENA HAY UN PALO QUE GIRA SIN PARAR. \n\nCUANDO LA PUNTA SE ACERQUE A TI, ¡SALTA PARA ESQUIVARLO!\n\nPERO TEN CUIDADO... ¡EL PALO AUMENTA DE VELOCIDAD A MEDIDA AVANZA EL JUEGO! \n\nSI EL PALO TE GOLPEA, SERAS ELIMINADO. ¡EL ÚLTIMO JUGADOR EN PIE GANA!","A STICK SPINS AT THE CENTER, GETTING FASTER AND FASTER.\n\nWHEN IT COMES YOUR WAY, JUMP TO DODGE IT!\n\nIF IT HITS YOU, YOU'RE OUT.\n\nTHE LAST PLAYER STANDING WINS!"
KEY_MINIJUEGO_PALO_CONTROLS,PARA SALTAR,TO JUMP
KEY_OR,O,OR
